Sweet home Alabama, Lynyrd Skynyrd
The Sound of Silence, Simon and Garfunkel
Hurt, Johny Cash
Hallelujah,Leonard Cohen
Rojitas, Extrechinato y Tu
Cien gaviotas, Duncan Dhu
Africa, toto
Uprising, Muse
Peces de ciudad, Joaquín Sabina
All the Small Things, Blink-182
Psycho Killer, Talking heads
Dolores se llamaba Lola, Los Suaves
Dream on, Aerosmith
Hotel California,Eagles
What A Wonderful World, Louis Armstrong
Amante bandido, Miguel Bosé
Dragostea Din Tei, O-zone
We didn't start the fire, Billy Joel
Salir, Extremoduro
Heroina, la fuga
Take on me, A-ha
El imperio contraataca, Nikis
Karma police, Radiohead
Demasiadas mujeres, C. Tangana
Devil Came to Me, Dover
A little piece of heaven, Avenged sevenfold
Rasputin, Boney M.
Personal Jesus, Depeche Mode
Deltoya, Extremoduro*
Bohemian Rhapsody,Queen
Marta Sebas Guille y los demás, Amaral
Smells Like Teen Spirit,Nirvana
Numb,Linkin Park
Porque te vas, Jeanette
Corazón de mimbre, Marea
Last Resort,Papa Roach
A quién le importa, Alaska y Dinarama
Imagine,John Lennon
Wind of Change, Scorpions
Call me, Blondi
The man who sold the world, Nirvana
Hijos de Caín, Barón Rojo
The Kids Aren't Alright, The Offspring
Sonne, Rammstein
Destrangis In the Night, Estopa
Mi Gran Noche, Raphael
Apatrullando la ciudad, Fari
Vivir Así es Morir de Amor, Camilo Sesto
Sweet Child O'Mine, Guns N' Roses
My way, Frank Sinatra
Lose Yourself, Eminem
¿Y como es él?, José Luís Perales
Cruz de navajas, Mecano
Soy un Truhán Soy un Señor, Julio Iglesias
Yo quiero bailar, Sonia y Selena
Zombie, The Cranberries
Chop suey, System of a down
Cadillac Solitario, Loquillo
Stairway to Heaven,Led Zeppelin
Never Gonna Give You Up, Rick Astley
Sweet Dreams, Marilyn Manson
Wish You Were Here, Pink Floyd
Sweet Caroline, Neil Diamond
Peor para el sol, Joaquín Sabina
Vicio, Reincidentes
Como yo te amo, Rocío Jurado
Walk, Pantera
Que la detengan, David Civera
Every Breath You Take, The Police
Noches de bohemia, Navajita plateá
Piece of My Heart, Janis Joplin
California Dreamin’, The Mamas & the Papas
El roce de tu cuerpo, Platero y tu
No puedo vivir sin ti, Los ronaldos
Non je ne regrette rien, Edith Piaf
Serenade, Dover
Mr. Brightside, The Killers
Jesucristo García, Extremoduro
The Trooper, Iron Maiden
Como Camarón, Estopa
Psychosocial, Slipknot
Dame veneno, Los chunguitos
Du hast, Rammstein
Esta cobardía, Chiquetete
Master of Puppets, Metallica
En Qué Estrella Estará, Nena Daconte
Bring Me to Life, Evanescense
Ciudad de los gitanos, Marea
Always on My Mind, Elvis Presley
Paranoid, Black Sabbath
Can't stop, Red Hot Chili Peppers
Passenger, Iggy Pop
Bitter Sweet Symphony, The Verve
Un beso y una flor, nino bravo
Blitzkrieg bop, Ramones
Buscando una luna, Extremoduro
Aserejé, Las Ketchup
Losing My Religion, R.E.M.
Song2, Blur
En Blanco y Negro, Barricada
